Row Labels,Sum of Quantity
1/2/2021,581
8,4
9,71
10,114
11,142
12,181
13,68
14,1
1/3/2021,564
8,4
9,94
10,94
11,126
12,177
13,69
1/4/2021,315
8,10
9,50
10,42
11,43
12,52
13,52
14,4
17,14
18,20
19,28
1/5/2021,309
8,8
9,30
10,38
11,57
12,63
13,45
14,6
17,20
18,20
19,22
1/7/2021,310
8,5
9,16
10,38
11,79
12,69
13,53
17,4
18,34
19,12
1/8/2021,316
8,25
9,18
10,13
11,30
12,109
13,67
14,2
17,20
18,29
19,3
1/9/2021,394
8,13
9,44
10,42
11,55
12,113
13,64
17,9
18,39
19,15
1/10/2021,473
8,21
9,49
10,80
11,107
12,163
13,53
1/11/2021,291
8,7
9,38
10,45
11,61
12,33
13,48
14,1
17,11
18,32
19,15
1/12/2021,258
8,6
9,32
10,22
11,54
12,63
13,27
14,1
17,15
18,31
19,7
1/14/2021,287
8,11
9,52
10,16
11,41
12,45
13,60
14,1
17,10
18,28
19,23
1/15/2021,322
8,31
9,17
10,46
11,27
12,53
13,61
14,3
17,12
18,46
19,26
1/16/2021,379
8,18
9,27
10,74
11,77
12,69
13,41
14,5
17,36
18,32
1/17/2021,507
8,22
9,63
10,89
11,123
12,125
13,79
14,6
1/18/2021,285
8,20
9,19
10,27
11,56
12,58
13,52
17,29
18,24
1/19/2021,286
8,26
9,26
10,27
11,44
12,67
13,36
14,3
17,28
18,29
1/21/2021,266
8,3
9,15
10,22
11,57
12,46
13,68
14,1
17,29
18,25
1/22/2021,326
8,10
9,46
10,33
11,37
12,72
13,67
17,35
18,26
1/23/2021,363
8,18
9,49
10,43
11,58
12,84
13,48
14,4
17,37
18,22
1/24/2021,488
8,9
9,55
10,72
11,156
12,142
13,52
14,2
1/25/2021,307
8,24
9,43
10,38
11,46
12,51
13,59
17,17
18,29
1/26/2021,305
8,14
9,52
10,34
11,48
12,50
13,45
17,26
18,36
1/28/2021,273
8,16
9,17
10,40
11,41
12,54
13,55
14,2
17,18
18,30
1/29/2021,311
8,22
9,26
10,26
11,29
12,102
13,61
14,7
17,24
18,14
1/30/2021,411
8,8
9,43
10,73
11,90
12,87
13,45
17,23
18,42
1/31/2021,549
8,17
9,46
10,147
11,157
12,147
13,35
2/1/2021,239
8,8
